ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
PID-0418-GL17__42237	5065741	4148332	819887	81285	1414	0	96108
PID-0418-GL18__42247	5065741	4573583	437145	30604	1570	0	53443
PID-0418-GL1__42253	5065741	4645341	385416	4283	745	0	34239
PID-0418-GL4__42238	5065741	4343317	671484	31703	404	0	50536
PID-0418-GL5__42250	5065741	4291223	704754	41211	668	0	69096
PID-0418-GL9__42244	5065741	4402737	598669	33845	1174	0	63161
PID-0757-GL22__57107	5065741	4251528	748080	39659	436	0	65697
PID-0757-GL23__57110	5065741	4586710	423006	29626	1602	0	54423
PID-0757-GL25__57098	5065741	4288949	712914	39237	585	0	63293
PID-0757-GL28__57071	5065741	4176351	830970	39118	114	0	58306
PID-0757-GL29__57099	5065741	4388064	580275	36066	18373	0	79029
PID-0757-GL31__57096	5065741	4223325	769165	37333	1396	0	71855
PID-0757-GL32__57087	5065741	4360123	655783	27750	835	0	49000
PID-0757-GL34__57521	5065741	4606019	405147	27818	1578	0	52997
PID-0757-GL36__57109	5065741	4515244	491634	28013	1438	0	57425
PID-0757-GL40__57092	5065741	4421215	588185	28390	1063	0	55278
PID-0757-GL42__57073	5065741	4487239	525652	27651	812	0	52038
PID-0757-GL44__57088	5065741	4477070	520983	29247	5639	0	62049
PID-0757-GL45__57089	5065741	4432800	569826	28859	3591	0	59524
PID-0757-GL46__57100	5065741	3976718	961715	81169	1631	0	125677
PID-0757-GL47__57077	5065741	3892625	1041462	79987	742	0	130912
PID-0757-GL48__57063	5065741	4649893	362787	25788	1137	0	51924
PID-0757-GL50__57113	5065741	4581024	425361	24693	1374	0	57982
PID-0757-GL53__57120	5065741	4519297	491738	24659	1650	0	53056
PID-0757-GL54__57112	5065741	4297880	722204	25280	298	0	45359
PID-0757-GL56__57091	5065741	3944540	1000521	75250	1118	0	119562
PID-0757-GL57__57105	5065741	3963837	989696	74529	1052	0	111156
PID-0757-GL58__57066	5065741	4355186	667888	24488	672	0	41995
PID-0757-GL59__57075	5065741	4560071	453661	24206	1092	0	50917
PID-0757-GL60__57104	5065741	3925969	1018535	73939	1530	0	119707
PID-0757-GL61__57061	5065741	4284345	720191	27829	937	0	60268
PID-0757-GL62__57097	5065741	4408111	593850	25381	1315	0	62465
PID-0757-GL63__57067	5065741	3800094	1146994	76290	390	0	118263
PID-0757-GL64__57060	5065741	4656148	357159	24295	1093	0	51341
PID-0757-GL65__57072	5065741	3843980	1089351	76306	1857	0	130553
PID-0757-GL66__57111	5065741	4380338	623100	24825	1220	0	61083
PID-0771-GL67__57116	5065741	3958462	992153	72438	1642	0	113484
PID-0771-GL68__57093	5065741	4558472	466473	2823	855	0	39941
PID-0771-GL70__57083	5065741	4209511	780011	31798	1582	0	74637
PID-0771-GL71__57078	5065741	4409519	592461	24794	1261	0	62500
PID-0771-GL72__57119	5065741	4511527	495341	22426	1285	0	57588
PID-0771-GL73__57059	5065741	3943257	1002242	72397	1083	0	119159
PID-0771-GL74__57095	5065741	3964885	981195	72345	1715	0	117946
PID-0771-GL75__57108	5065741	4586059	425521	22530	1311	0	52850
PID-0771-GL76__57118	5065741	4593262	417213	23681	1161	0	54105
PID-0771-GL77__57070	5065741	3941973	1010092	71826	1363	0	112313
PID-0771-GL78__57114	5065741	4520568	489513	23314	1202	0	54458
PID-0771-GL79__57082	5065741	4406861	595084	24677	1184	0	62612
PID-0771-GL80__57079	5065741	4552527	460774	23189	1098	0	51342
PID-0771-GL81__57074	5065741	3948308	1003775	71999	1534	0	112124
PID-0771-GL82__57115	5065741	4623238	409867	2705	742	0	31894
PID-0771-GL83__57068	5065741	3966374	985967	71845	1663	0	111737
PID-0771-GL84__57069	5065741	4215729	794802	23932	314	0	54896
PID-0771-GL85__57084	5065741	4379426	637546	22957	703	0	48066
PID-0771-GL86__57065	5065741	4527802	477072	23636	1925	0	58942
PID-0771-GL87__57117	5065741	4287901	703372	31249	1022	0	73446
PID-0771-GL88__57102	5065741	4323528	680396	26686	1001	0	60816
PID-0771-GL89__57094	5065741	4539144	476758	23383	1337	0	48502
PID-0771-GL90__57064	5065741	4414798	588628	24396	1391	0	60924
PID-0771-GL91__57062	5065741	4648675	370166	2724	4172	0	42728
PID-0771-GL92__57103	5065741	4315189	689251	30006	289	0	61012
PID-0771-GL93__57086	5065741	4458744	543265	24046	799	0	62933
PID-0771-GL94__57081	5065741	4530979	494739	2702	500	0	39523
PID-0771-GL95__57076	5065741	4252804	749979	29906	569	0	62389
PID-0771-GL97__57106	5065741	4465118	541203	23411	1727	0	57693
PID-0803-100__56518	5065741	4511939	503313	3325	1604	0	48885
PID-0803-101__56499	5065741	4347772	664747	24415	1107	0	52115
PID-0803-102__56494	5065741	3829947	1110347	74268	695	0	124752
PID-0803-103__56502	5065741	4554576	456396	21665	1310	0	53459
PID-0803-104__56498	5065741	4313441	688506	29685	151	0	63643
PID-0803-105__56493	5065741	4508000	498570	22317	1577	0	57594
PID-0803-106__56520	5065741	4271752	732733	26039	731	0	60525
PID-0803-107__56484	5065741	4514756	480071	22521	2216	0	68698
PID-0803-108__56500	5065741	3877368	1078057	70556	491	0	109825
PID-0803-109__56501	5065741	3851604	1104597	71737	450	0	109090
PID-0803-110__56507	5065741	4645676	382064	2378	668	0	37333
PID-0803-111__56492	5065741	4659628	367859	2386	167	0	38087
PID-0803-112__56521	5065741	3947034	1006886	62960	667	0	111154
PID-0803-113__56517	5065741	4252881	734317	30358	942	0	77601
PID-0803-114__56491	5065741	3936185	1006155	59317	1448	0	121953
PID-0803-115__56487	5065741	3867723	1069024	70983	916	0	128078
PID-0803-116__56486	5065741	4413459	597522	21488	583	0	54177
PID-0803-117__56510	5065741	4767722	262433	278	1719	0	33867
PID-0803-118__56519	5065741	4497772	496949	21554	1645	0	69375
PID-0803-119__56504	5065741	4496319	497594	21546	1773	0	70055
PID-0803-120__56489	5065741	3902277	1043303	58669	1263	0	118898
PID-0803-121__56516	5065741	3793329	1158689	70060	261	0	113462
PID-0803-122__56506	5065741	3824501	1117298	69547	197	0	123745
PID-0803-127__56505	5065741	4342927	636184	28781	1648	0	84982
PID-0803-130__56511	5065741	4536344	466768	20571	1769	0	60860
PID-0803-131__56508	5065741	4541159	465363	20871	1733	0	57486
PID-0803-132__56515	5065741	4290350	704368	28393	812	0	70211
PID-0803-133__56495	5065741	4312124	689041	27812	208	0	64368
PID-0803-134__56485	5065741	4486523	509295	23373	1261	0	68662
PID-0803-135__56503	5065741	3885761	1062968	67462	476	0	116536
PID-0803-136__56514	5065741	4403899	595703	22266	1229	0	64910
PID-0803-98__56496	5065741	3901150	1037232	69250	879	0	126480
PID-0803-99__56513	5065741	4517616	508120	2325	218	0	39787
PID-1040-GL137__64508	5065741	4540712	451537	21583	1171	0	72321
PID-1040-GL138__64569	5065741	4339697	670967	21899	483	0	54594
PID-1040-GL139__64558	5065741	3948623	988711	68692	1025	0	127382
PID-1040-GL140__64536	5065741	4436245	575919	21551	864	0	52713
PID-1040-GL141__64495	5065741	4380615	624462	22162	1246	0	59418
PID-1040-GL142__64520	5065741	4266336	740491	24464	619	0	58295
PID-1040-GL143__64542	5065741	4486923	511503	23195	1035	0	66280
PID-1040-GL144__64571	5065741	3964706	986825	65882	1599	0	112611
PID-1040-GL145__64523	5065741	4486563	511114	23184	1084	0	66980
PID-1040-GL146__64492	5065741	4029230	917634	59564	1406	0	117471
PID-1040-GL147__64517	5065741	3823678	1112452	68788	1222	0	128389
PID-1040-GL148__64500	5065741	3964777	980475	65936	1180	0	119309
PID-1040-GL149__64579	5065741	3963268	981213	65561	1868	0	119392
PID-1040-GL150__64582	5065741	4481280	524413	21049	990	0	59058
PID-1040-GL151__64559	5065741	3802912	1146825	68439	395	0	115609
PID-1040-GL152__64552	5065741	4511658	514260	2571	683	0	39140
PID-1040-GL153__64578	5065741	4226808	760575	28404	1631	0	76727
PID-1040-GL154__64560	5065741	4475224	531646	20572	1397	0	57474
PID-1040-GL155__64497	5065741	4463772	544167	21101	1051	0	56751
PID-1040-GL156__64562	5065741	3944661	1002986	64876	1229	0	116865
PID-1040-GL157__64502	5065741	4486573	523787	20950	435	0	54946
PID-1040-GL158__64526	5065741	3872596	1077787	67678	515	0	114843
PID-1040-GL160__64537	5065741	4282118	711257	27777	973	0	71393
PID-1040-GL162__64503	5065741	3876687	1070517	67673	479	0	118058
PID-1040-GL163__64533	5065741	4354376	630639	27731	1737	0	78989
PID-1040-GL164__64534	5065741	4278011	727599	23812	688	0	59443
PID-1040-GL165__64529	5065741	4299814	704538	27132	350	0	61039
PID-1040-GL166__64565	5065741	4523302	492205	20489	496	0	49738
PID-1040-GL168__64553	5065741	4638376	393031	1845	341	0	33993
PID-1040-GL171__64512	5065741	4274108	740605	21679	772	0	50256
PID-1040-GL172__64524	5065741	3935284	1018190	64418	931	0	111336
PID-1040-GL173__64549	5065741	4188120	800979	27717	468	0	76174
PID-1040-GL174__64494	5065741	4587969	428952	20587	1022	0	47798
PID-1040-GL175__64501	5065741	4363337	639636	21949	1176	0	61592
PID-1040-GL177__64525	5065741	4416948	595322	19510	992	0	52479
PID-1040-GL178__64505	5065741	3945922	1006103	64424	796	0	112920
PID-1040-GL179__64556	5065741	3740013	1216073	67269	136	0	109519
PID-1040-GL180__64570	5065741	4294175	717571	21603	900	0	53095
PID-1040-GL183__64576	5065741	4347412	634699	27493	1154	0	82476
PID-1040-GL184__64561	5065741	4371659	633305	21439	936	0	59841
PID-1040-GL185__64557	5065741	3833416	1113229	66771	405	0	118691
PID-1040-GL186__64513	5065741	4218432	778112	26881	1139	0	68058
PID-1040-GL187__64527	5065741	4547716	468285	19707	1187	0	48553
PID-1040-GL188__64573	5065741	4551608	448486	20391	1454	0	64193
PID-1040-GL189__64519	5065741	4521894	484759	20012	1538	0	57550
PID-1040-GL190__64540	5065741	4645232	338015	19215	3081	0	79413
PID-1040-GL192__64531	5065741	4292415	717924	21351	827	0	54575
PID-1040-GL193__64568	5065741	4465816	542474	20308	1099	0	56352
PID-1040-GL195__64584	5065741	3814038	1132995	65938	417	0	118291
PID-1040-GL197__64550	5065741	3963533	979817	62877	1847	0	120544
PID-1040-GL198__64583	5065741	4266144	736095	26231	677	0	62825
PID-1040-GL199__64566	5065741	3951877	991456	63606	1240	0	121168
PID-1040-GL200__64548	5065741	4533530	459517	21829	1878	0	70816
PID-1040-GL201__64510	5065741	4530966	461240	21811	1691	0	71844
PID-1040-GL202__64551	5065741	4467337	540279	20159	1110	0	57015
PID-1040-GL204__64547	5065741	4348666	635502	26973	1171	0	80402
PID-1040-GL207__64504	5065741	3840279	1095581	65583	2176	0	127705
PID-1040-GL208__64511	5065741	4282207	709745	26918	977	0	72812
PID-1040-GL209__64541	5065741	4592410	419445	20164	704	0	53182
PID-1040-GL210__64507	5065741	4587731	425248	19174	1399	0	51363
PID-1040-GL212__64521	5065741	4568129	449438	18988	909	0	47265
PID-1040-GL215__64506	5065741	4421405	574581	20965	1589	0	68166
PID-1040-GL216__64514	5065741	3746780	1207439	65011	423	0	111099
PID-1040-GL217__64575	5065741	4698181	322430	1724	1560	0	43570
PID-1040-GL219__64532	5065741	4504702	493741	20263	1895	0	65403
PID-1040-GL220__64516	5065741	3953910	997248	62155	829	0	113754
PID-1040-GL221__64499	5065741	4551348	453464	19520	1352	0	59577
